,Date,Text
0,2017-03-08 18:24:36,"due to traffic accident, the middle lane of tuen mun road tuen mun bound near sham tseng interchange is closed to all traffic. only remaining lanes are still available to motorists. traffic is congested now. ********************** transport department has launched the“etraffic news” mobile application for disseminating the latest traffic news.  for major incidents, messages will also be sent through“govhk notifications”. please download it from google play or app store."
1,2017-03-08 18:24:36,"the fast lane of lung cheung road kwun tong bound near peninsula heights which was closed due to traffic accident is re-opened to all traffic. traffic queue takes time to disperse. ********************** transport department has launched the“etraffic news” mobile application for disseminating the latest traffic news.  for major incidents, messages will also be sent through“govhk notifications”. please download it from google play or app store."
2,2019-09-13 07:45:52,the slow lane of tuen mun road tsuen wan bound near belvedere garden which was closed due to vehicle breakdown is re-opened to all traffic. 
3,2019-09-13 07:45:52,"due to watermain emergency works , the slow lane of ma tau wai road kwun tong bound near farm road is closed to all traffic.  only remaining lanes are still available to motorists. "
4,2019-09-13 07:45:52,"due to emergency repairing works, the following road sections are closed:  - the slow lane of shenzhen bay bridge southbound between ch0.2 and ch0.7  - the slow lane of shenzhen bay bridge northbound between ch0.85 and ch0.35 "
5,2019-09-13 07:45:52,"due to emergency repairing works , the fast lane of tai chung kiu road ma on shan bound near city one shatin is closed to all traffic. only the middle and slow lanes are still available to motorists. "
6,2019-09-13 07:45:52,"due to road situation, the following sections of road are still closed to all traffic:   - all lanes of tim wa avenue (both bounds). "
7,2019-09-14 08:30:44,the overhead line equipment near sham shui po station has been repaired. normal train service is gradually resuming on the tsuen wan line & kwun tong line. 
8,2019-09-15 08:05:07,"due to traffic accident , part of the lanes of lung cheung road tsuen wan bound near choi hung road is closed to all traffic.  only remaining lane(s) is still available to motorists.  traffic is busy now. "
9,2019-09-15 08:05:07,the one-lane-two-way traffic arrangement which was implemented on pak tam road near hoi ha road due to traffic accident is now cancelled. 
10,2019-09-15 08:05:07,"due to emergency repairing works, the following road sections are still closed:  - the slow lane of shenzhen bay bridge northbound between ch0.85 and ch0.35 "
11,2019-09-16 08:31:58,"due to vehicle breakdown , part of the lanes of lion rock tunnel road ma on shan bound near hung mui kuk is closed to all traffic.  only remaining lane is still available to motorists.  traffic is congested now. "
12,2019-09-16 08:31:58,"due to traffic accident , part of the lanes of sha tin wai road sha tin town centre bound near prince of wales hospital is closed to all traffic.  only remaining lanes are still available to motorists.  traffic is busy now. "
13,2019-09-16 08:31:58,"due to traffic accident , the fast lane of tuen mun road kowloon bound near sea crest villa is still closed to all traffic.  only remaining lanes are still available to motorists.  traffic is congested now. "
14,2019-09-16 08:31:58,"the computer system of kmb and lwb has been repaired, bus services are gradually resuming normal. "
15,2019-09-16 08:31:58,mtr train service is normal this morning. 
16,2019-09-17 08:36:11,"due to traffic accident , the fast lane of lion rock tunnel road kowloon bound near hung mui kuk road is closed to all traffic.  only remaining lane is still available to motorists.  traffic is busy now. "
17,2019-09-17 08:36:11,"due to vehicle breakdown , the fast lane of gascoigne road yau ma tei bound near hong kong girl guides association is closed to all traffic.  only remaining lane is still available to motorists.  traffic is busy now. "
18,2019-09-17 08:36:11,"due to traffic accident , part of the lanes of tsuen kam interchange is closed to all traffic.  only remaining lanes are still available to motorists.  traffic is busy now. "
19,2019-09-17 08:36:11,the middle lane of tseung kwan o road tseung kwan o bound near tsui ping south estate which was closed due to traffic accident is re-opened to all traffic. traffic queues take time to disperse. 
20,2019-09-17 08:36:11,"due to emergency repairing works , the one-lane-two-way traffic arrangement is now implemented on tin wan hill road near shek pai wan road.  affected bus route has been diverted. "
21,2019-09-17 08:36:11,"due to watermain emergency works , the middle lane of ma tau wai road kwun tong bound near farm road is closed to all traffic.  only remaining lanes are still available to motorists. "
22,2019-09-17 08:36:11,"due to watermain burst, the following road sections are closed:  - the fast lane of gascoigne road yau ma tei bound near wylie road; and  - the middle lane of gascoigne road yau ma tei bound near jordan road.  only remaining lanes are still available to motorists. "
23,2019-09-18 07:58:35,the slow lane of tuen mun road kowloon bound near tsing lung tau which was closed due to traffic accident is re-opened to all traffic. traffic queue takes time to disperse. 
24,2019-09-18 07:58:35,the slow lane of yuen long highway kowloon bound near fu tai estate which was closed due to vehicle breakdown is re-opened to all traffic. traffic queue(s) take(s) time to disperse. 
25,2019-09-18 07:58:35,"guangzhou-kowloon through train northbound train nos. z814, z802, z808, z804, z818, z810, southbound train nos. z801, z815, z807, z803, z809, z819 have been cancelled on 18 september 2019.   shanghai-kowloon through train no. z99 scheduled to arrive hung hom station at 13:01 hrs and z100 scheduled to depart from hung hom station at 15:15 hrs will be cancelled on 18 september 2019.   passengers can visit the mtr intercity through train website for the latest news on through train services. "
26,2019-09-18 07:58:35,"after the recovery work, one platform can be in service for the east rail line in hung hom station today. the service arrangement for east rail line is as follows:  between hung hom station and lo wu station: 7 minute intervals  between mong kok east station and lo wu station: 3.5 minute intervals  between tai po market station and lok ma chau station: 12 minute intervals   in view of the service disruption of east rail line, the following bus services will be strengthened:   kowloon / new territories routes:  81c, 87d, 281a   cross harbour routes:  170, 307, 673, 680, 681, 978, 982x "
27,2019-09-18 07:58:35,"due to emergency repairing works , the fast lane of wong chu road tuen mun road bound near hoi wong road is closed to all traffic.  only remaining lane is still available to motorists.  traffic is busy now. "
28,2019-09-19 08:22:13,the fast lane of ting kau bridge kowloon bound which was closed due to traffic accident is re-opened to all traffic. traffic queue takes time to disperse. 
29,2019-09-19 08:22:13,"due to traffic accident happened earlier , tseung kwan o tunnel road and tseung kwan o tunnel kwun tong bound are busy. motorists passing through the above section of road are advised to drive with utmost care and patience . "
30,2019-09-19 08:22:13,"due to heavy traffic , lion rock tunnel road kowloon bound is busy. motorists passing through the above section of road are advised to drive with utmost care and patience . "
