,Date,Text,Incident_cause,Location,Direction_landmark,Status,Near_landmark,Between_landmark
0,2020-12-31 13:00:00,part of the lanes of waterloo road tsim sha tsui bound near durham road which were closed due to traffic accident are re-opened to all traffic. ,traffic accident,waterloo road,tsim sha tsui,closed,durham road,
1,2020-12-31 14:02:00,"part of the lanes of nathan road tsim sha tsui bound near eaton, hong kong which were closed due to traffic accident are re-opened to all traffic. ",traffic accident,nathan road,tsim sha tsui,updated,"eaton, hong kong",
2,2020-12-31 15:30:00,"due to improved weather condition, the following arrangements have been implemented on hong kong-zhuhai-macao bridge (hzmb) main bridge: (i) the speed limit of the fast and middle lanes of hzmb main bridge has resumed 100 km/h; and (ii) the speed limit of the slow lane of hzmb main bridge has resumed 80km/h. ",strong wind,hong kong-zhuhai-macao bridge main bridge,,new,,
3,2020-12-31 15:57:00,"due to vehicle breakdown , the fast lane of tate's cairn highway tai po bound near sha tin sewage treatment works is closed to all traffic.  only remaining lane is still available to motorists.   traffic is busy now. ",vehicle breakdown,tate's cairn highway,tai po,new,sha tin sewage treatment works,
4,2020-12-31 16:22:00,"due to emergency repairing works , the tunnel tube slow lane of tuen mun chek lap kok tunnel road tuen mun bound is closed to all traffic.  only remaining lane is still available to motorists. ",emergency repairing works,tuen mun chek lap kok tunnel road,tuen mun,new,,
5,2020-12-31 16:34:00,the tunnel tube slow lane of tuen mun chek lap kok tunnel road tuen mun bound which was closed due to emergency repairing works is re-opened to all traffic. ,emergency repairing works,tuen mun chek lap kok tunnel road,tuen mun,updated,,
6,2020-12-31 16:45:00,the fast lane of tate's cairn highway tai po bound near sha tin sewage treatment works which was closed due to vehicle breakdown is re-opened to all traffic. ,vehicle breakdown,tate's cairn highway,tai po,updated,sha tin sewage treatment works,
7,2020-12-31 19:47:00,"due to watermain emergency works , the one-lane-two-way traffic arrangement is now implemented on tai wan road ma tau wai road bound near wai wan lane. ",watermain emergency works,tai wan road,ma tau wai road,new,wai wan lane,
8,2020-12-31 19:55:00,"due to traffic accident , the lane no. 2 of lei yue mun road eastern harbour crossing bound near lam tin mtr station is closed to all traffic.  only remaining lanes are still available to motorists.   traffic is busy now. ",traffic accident,lei yue mun road,eastern harbour crossing,new,lam tin mtr station,
9,2020-12-31 20:02:00,the lane no. 2 of lei yue mun road eastern harbour crossing bound near lam tin mtr station which was closed due to traffic accident is re-opened to all traffic. ,traffic accident,lei yue mun road,eastern harbour crossing,updated,lam tin mtr station,
10,,part of the lanes of chatham road south yau ma tei bound near hong kong polytechnic university which were closed due to traffic accident are re-opened to all traffic. traffic queue takes time to disperse. ,traffic accident,chatham road south,yau ma tei,,hong kong polytechnic university,
11,,"staring from 1pm, airport express is running between airport and hong kong stations only. trains will not stop at kowloon, tsing yi and asiaworld-expo stations.   mtr staff and airport authority staff will check flight tickets and travel documents in hong kong station.  please allow more time for travel.   in-town check-in service will be suspended at kowloon station for the whole day. in-town check-in service at hong kong station will remain normal and please allow 90 minutes ahead of the scheduled flight time for the check in service. ",train technical fault,airport express line service disruption,,,,
12,,"due to road situation, the following road sections are temporarily blocked / closed to all traffic: i. hong kong island - hennessy road - tin lok lane ii. kowloon - salisbury road - nathan road (northbound) affected bus routes and gmb routes have been diverted. motorists are advised to use alternative routes. ",,road closure situation,,,,
13,,"due to road situation, the following public transport services temporarily affected have been adjusted as follows: the following bus routes are truncated / diverted: cross harbour routes: 107, 170, 171, 973 the following bus route is suspended: airport / north lantau external route: b5 the following gmb routes are truncated / diverted: hong kong island: 25, 40, 40x in addition, other ad-hoc traffic and public transport measures, including additional road closures, traffic diversion, alteration and suspension of public transport services may be implemented by the police at anytime depending on actual traffic and crowd conditions in the areas. early planning of journeys and use of alternative travelling routes are advised to avoid unexpected delay. public transport commuters are advised to pay attention to the arrangements of route diversions and suspension or relocation of stops. members of the public are advised to pay attention to radio / tv announcements on traffic conditions. ",traffic accident,public transport service adjustment due to road situation,,,,
14,,"due to traffic accident , part of the lanes of electric road north point bound near oil street are closed to all traffic. only remaining lane(s) is still available to motorists. traffic is busy now. ",traffic accident,electric road,north point,,oil street,
